,brgy_name,brgy_id,total_area,population,ndvi_mean,canopy_cover_pct,green_space_area,green_space_ratio,proximity_to_parks,vulnerable_group_access,mean_lst,heat_anomaly,flood_exposure,storm_surge_exposure,landslide_exposure,air_quality_score,fragmentation_index,ecological_connectivity,mean_patch_size,edge_density
Casuntingan,Casuntingan,PH072230009,0.30617375919545575,0.6422196695237253,0.0,0.0,0.10553247566793272,0.0,0.06982371209007854,0.9755261484266334,0.7770014504097595,0.7770014504097595,0.0,0.6934507052347494,0.7728253014671878,0.9686309109239936,0.3891284158211483,0.9872178198601318,0.07881734334000573,0.6043470737974463
Umapad,Umapad,PH072230027,0.9297886209144239,0.4666431032959265,1.0,0.9796850355787642,1.0,1.0,0.35964567347013277,0.2475709596848094,0.8829708421196654,0.8829708421196654,0.5689555971950166,0.7629994002939606,0.98548382627307,0.37032681857337,0.7534613220047346,0.12744627066136507,0.5415791393290664,0.37074091916839924
Casili,Casili,PH072230008,0.11909861253375548,0.9007687549703985,0.8551948389216539,0.8234071410230267,0.14060765315071502,0.8551948389216539,0.11244232543443355,0.4257137434915357,0.6572836072077084,0.6572836072077084,0.5051431989387136,0.616497944653124,0.8436186668951806,0.2794980895811886,0.8483416413067357,0.5833085049009988,0.17687614528529347,0.1218750285390291
Subangdaku,Subangdaku,PH072230022,0.9444082316789272,0.5258460722806397,0.20199040802352794,0.27769028364726345,0.47657587629958026,0.20199040802352794,0.8738659586443067,0.8074193858753099,0.029924836747566852,0.029924836747566852,0.5748008917523832,0.9876579315744705,0.9347711164337846,0.8733045485897724,0.5554125554259338,0.3642303668912928,0.5063411975360329,0.03160262425235327
Mantuyong,Mantuyong,PH072230018,0.0,0.9878059556419546,0.16984743067826624,0.08611974993195469,0.0,0.16984743067826624,0.6295069860291521,0.22490751797177216,0.672221202532318,0.6722212025323174,1.0,0.9601851782263656,0.5660293993290881,0.21621819746009657,0.6727067271870208,0.9693807427183122,0.002318279280782502,0.8627338427120779
Guizo,Guizo,PH072230012,0.12044883136232425,0.0681275956525581,0.17151128873624916,0.3180940447503089,0.058218700960300324,0.17151128873624916,0.3315544854180509,0.057018696811995374,0.4695039368849292,0.4695039368849292,0.9694267990879221,0.7313071032848752,0.42638208200445304,0.9697005717205559,0.4279016595165358,0.8380863646098792,0.05553251964164977,0.05535538000175577
Canduman,Canduman,PH072230007,0.8136232423875593,0.9028894583370151,0.2987992960614851,0.6010784211414457,0.4676119278855504,0.2987992960614851,0.05913828579401863,0.2923129530193477,0.2785600957099228,0.2785600957099228,0.30440901713293533,0.24565488164615068,0.6647537922705482,0.0008158321360698434,0.9656786993062743,0.8341923740581827,0.7050859614351267,0.5053572161242184
Basak,Basak,PH072230004,0.2673433280566161,0.051250331359901036,0.5310844518781925,0.6617351475535311,0.20855715836803035,0.5310844518781925,0.311260602101954,0.1501773587070769,0.6303208964039821,0.6303208964039821,0.8035774480402589,0.3104003746984122,0.7622048715588694,0.9764815534339977,0.012559932395250883,0.45443660321824003,0.22705297826792495,0.7475890477721263
Pagsabungan,Pagsabungan,PH072230021,0.6035943756401899,1.0,0.43331879943766877,0.47568743424555826,0.40833327953397647,0.43331879943766877,0.32573126584416373,1.0,0.0,0.0,0.9771063753966867,0.8932016062086874,0.6516457200953105,0.03240210458016227,0.0,0.39908794263337666,0.4552817242892484,0.5395166670223033
Opao,Opao,PH072230019,0.4108855573144613,0.7527613325086153,0.28509155861017993,0.40295080575617975,0.2344547972618275,0.28509155861017993,0.7378337258924889,0.8655532899029174,0.00967506010532082,0.00967506010532082,0.5611039837483447,1.0,0.8917590155453288,0.8962708580877473,0.3061861624868687,0.2538037911113039,0.3643438652853034,0.0
Cabancalan,Cabancalan,PH072230005,0.8552006704534872,0.4064681452681806,0.6228300924728029,0.5315428503054618,0.6905482627813966,0.6228300924728029,0.6440371018888745,0.6723422181942742,0.7462452686729836,0.7462452686729836,0.49948888594133367,0.8363765046355939,0.9371470255641549,0.5260203733502453,0.47845602500881534,0.030830123398497607,0.63066623599488,0.5048374779604021
Centro (Pob.),Centro (Pob.),PH072230010,0.08571561597914144,0.7283732437925245,0.1252567050600157,0.01363239815824687,0.03686782906095318,0.1252567050600157,0.8984330882399894,0.9355983134551247,0.491831307425291,0.491831307425291,0.49636481733705107,0.7107489259992372,1.0,1.0,0.7192907745960375,0.8613086761030228,0.0,0.6745614921847384
Pakna-an,Pakna-an,PH072230020,1.0,0.1816735884068216,0.28605593644923216,0.39328184507145786,0.56442327318397,0.28605593644923216,0.47555485867845015,0.8606341167285255,0.6953596034011107,0.6953596034011107,0.40063366668133815,0.19830568865154286,0.9989149962000121,0.06361268398589706,0.18327195559815657,0.8080684953650258,0.2322754175713978,0.35902233214504264
Maguikay,Maguikay,PH072230017,0.5042368935655088,0.1526906423963948,0.364234818055526,0.33759115101082643,0.31668714952265026,0.364234818055526,0.11623824957929701,0.1782093985205347,0.7119820303924189,0.7119820303924189,0.8954022069048302,0.7660771280804519,0.9979717900866293,0.5526634848094039,0.32046236381616733,1.0,0.4367828528816532,0.7663347714010568
Bakilid,Bakilid,PH072230002,0.12654809572585904,0.9373508880445348,0.45873154689565926,0.3462472675318978,0.09748418851615027,0.45873154689565926,0.7211616475885304,0.9589300720947499,0.9689739971739031,0.9689739971739036,0.5207650054767514,0.7815593185132435,0.9425955103691193,0.9758944664925481,0.8754517459738433,0.996834813786995,0.11393434568784438,0.9364894559217539
Labogon,Labogon,PH072230015,0.6033615792904367,0.2870902182557215,0.8054050813683006,0.7135442182738923,0.5742125083818055,0.8054050813683006,0.7696046531358888,0.568323918597344,0.37542133504352526,0.37542133504352526,0.5727146512759742,0.9631748365090026,0.289209462809749,0.5213308739391891,0.08002382196388713,0.543549957650085,0.7516775329064507,0.8815779513095585
Looc,Looc,PH072230016,0.3682838253096191,0.9462755147123796,0.18864900887625952,0.11672386095354878,0.1828123119726558,0.18864900887625952,0.566308338566815,0.864801061047428,0.4862028364971749,0.4862028364971749,0.48375674606196173,0.0,0.8157818454658282,0.6296230360837568,0.1739792745087435,0.762952594175241,0.1072910084755591,0.8824416420348076
